@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
4,7,145248640,93083648,0.174,534624992,204906000,10181000,-188478000,25353000,11376000,9905375,0.091503,1.5556,0,2
11,7,15236898816,16810499072,4.336,3876600064,1737799936,934000000,626200000,2230400000,765100032,548974976,0.011155,0.275,24.617198,3
5,4,1437979520,1444571520,0.863,1673282944,389452000,311984992,71260000,213423008,242636000,139800992,0,0,20.393443,2
11,5,7249860608,9790255104,12.262,798409984,333355008,1109611008,678774976,2645309952,-852441984,201091376,0,0,10.521505,2
14,6,10466590720,10996017152,5.39,2040066944,1637289984,997764992,373385984,1483255040,675030976,683148480,0.005194,0.1479,28.56213,3
12,6,939160576,569607936,10.976,51898000,-133707000,-187140992,-175380992,23715000,-190586000,-114199624,0,0,0,0
12,10,11124647936,25211482112,4.797,5255240192,2148604928,2010236032,576059008,14004524032,1736011008,-492301760,0.038333,0.7335,19.166667,3
7,5,2309081856,2454263040,6.176,397385984,249515008,199628000,84235000,186711008,271291008,129748496,0.04198,1.1137,26.814815,2
3,0,1859662464,2557062400,1.239,2063500032,524400000,358500000,2100000,983299968,188900000,295975008,0.007222,43,5927,0
8,1,9665770496,12358670336,1.397,8846600192,2087800064,1719699968,441700000,4184699904,958899968,934275008,0.050114,1.1186,22.364407,2
6,2,4276726272,3799188480,1.486,2556986880,689638016,306972992,217306000,127789000,231543008,125366128,0,0,20.125,3
7,7,634149952,2017553024,0.745,2707109120,742862016,235760992,-29972000,1407145984,328889984,302738112,0.02183,1.75,0,4
5,9,642644928,321176960,0.825,389227008,141276992,24365000,16991000,15284000,40012000,35296624,0,0,37.95,0
13,1,2623547392,3016413440,0.814,3705967104,2751335936,361976000,-479886016,1435042048,199992000,87617000,0,0,0,1
10,7,12969873408,13980065792,3.411,4098851072,1496468992,793110016,502868000,1309673984,624516992,450795872,0.012421,0.3326,26.377104,2
19,3,30205452288,48986451968,1.935,25309999104,8682999808,6272999936,-5271000064,21211000832,4400000000,2745499904,0.063669,0.7306,0,4
