@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-1.034476,6,-2.237877,-3.038936,-0.430928,-2.495566,-0.388453,-0.432308,-0.382245,-1.902693,-0.423479,-0.360452,-0.690137,-0.584779,-1.592794,1
-0.300674,7,-0.091413,-0.133521,-0.654297,0.318148,-0.207106,-0.333705,-0.301737,-0.018266,-0.34256,-0.274161,-0.690137,-0.584779,0.747859,2
-1.156776,6,-1.689332,-1.989757,-2.016211,-0.465957,-0.363795,-0.414409,-0.364992,-2.791085,-0.400824,-0.331862,-0.690137,-0.584779,-1.592794,4
-0.300674,0,0.016745,-0.084359,-1.036258,0.620755,-0.250042,-0.224237,-0.320938,0.161005,-0.20541,-0.067831,-0.079283,0.759803,1.095993,2
-0.056073,8,-0.13216,0.006628,0.984658,-0.657076,-0.317871,-0.298396,-0.279285,0.490154,-0.288058,-0.177554,1.593798,1.088109,0.487433,2
-0.545274,10,0.389342,0.570906,0.890435,-0.076326,-0.231079,-0.105881,-0.055164,0.923352,-0.147181,-0.675893,0.788846,0.293563,0.211841,0
-1.156776,2,-0.850858,-0.907141,-0.650545,-0.393238,-0.33266,-0.373291,-0.315581,-0.46804,-0.36759,-0.30862,-0.621105,-0.536501,0.180122,1
-0.789875,7,-0.866272,-1.063702,0.861178,-1.555026,-0.379957,-0.408376,-0.340479,-2.484284,-0.397364,-0.334027,-0.130191,0.126794,0.639566,1
-0.545274,4,-1.460678,-1.493288,-0.445059,-1.069084,-0.377579,-0.418332,-0.457447,-0.497352,-0.383138,-0.331725,-0.690137,-0.584779,-1.592794,1
-0.056073,6,-0.390139,-0.456162,-0.582774,-0.025481,-0.227782,-0.344924,-0.335556,0.181369,-0.328139,-0.229766,-0.690137,-0.584779,0.963793,3
-0.545274,9,0.911789,0.841868,0.33072,0.549002,-0.143571,-0.009853,0.036596,0.542965,-0.07303,0.125181,0.040038,0.211935,0.566385,3
