@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.667575,3,-2.176402,-0.480303,-0.197858,-1.464134,-1.157257,-0.373496,-0.487977,0.787947,-0.690137,-0.584779,-1.164105,0.059453,-0.247523,0.193319,3
-0.789875,0,-0.416264,-0.664859,-0.570748,0.157463,0.742986,-0.266935,0.338018,-0.083854,0.042103,0.136574,-0.58263,-0.993544,-0.552793,0.487873,2
-0.789875,6,-1.34484,0.029563,0.541766,-2.050081,-1.800197,-0.387522,-1.472353,1.840218,-0.690137,-0.584779,-1.356227,1.097558,-0.143154,0.934337,2
-1.156776,3,-0.730126,-1.023619,-0.579321,-0.442218,0.60378,-0.323412,-1.027472,-0.065816,0.733055,0.216163,-1.321665,-0.935072,-0.241194,0.178955,0
-1.034476,6,-2.237877,-1.270413,-0.430928,-2.495566,-2.309701,-0.388453,-1.902693,2.406786,-0.690137,-0.584779,-0.083166,-0.414374,-0.404226,-1.592794,1
-0.300674,7,-0.091413,0.055445,-0.654297,0.318148,1.109301,-0.207106,-0.018266,-0.141011,-0.690137,-0.584779,-0.757747,0.267833,-0.440388,0.747859,2
-1.156776,6,-1.689332,-1.166677,-2.016211,-0.465957,0.31424,-0.363795,-2.791085,1.067399,-0.690137,-0.584779,-1.129592,0.727489,-0.055159,-1.592794,4
-0.300674,0,0.016745,-0.731413,-1.036258,0.620755,0.801781,-0.250042,0.161005,0.492907,-0.079283,0.759803,0.031358,-0.538967,-0.47635,1.095993,2
-0.056073,8,-0.13216,-0.760451,0.984658,-0.657076,-1.288991,-0.317871,0.490154,0.058478,1.593798,1.088109,0.621149,-0.044491,-0.513517,0.487433,2
-0.545274,10,0.389342,-0.604681,0.890435,-0.076326,-0.771122,-0.231079,0.923352,-0.793128,0.788846,0.293563,0.834662,-0.867029,-0.563943,0.211841,0
-1.156776,2,-0.850858,-0.12091,-0.650545,-0.393238,-0.034943,-0.33266,-0.46804,0.253559,-0.621105,-0.536501,-0.531573,-0.054078,-0.353699,0.180122,1
-0.789875,7,-0.866272,1.112215,0.861178,-1.555026,-1.129401,-0.379957,-2.484284,1.628276,-0.130191,0.126794,-0.975855,0.688412,-0.134817,0.639566,1
-0.545274,4,-1.460678,-1.153118,-0.445059,-1.069084,-1.704799,-0.377579,-0.497352,0.770467,-0.690137,-0.584779,0.422873,-0.150621,1.569635,-1.592794,1
-0.056073,6,-0.390139,-1.1018,-0.582774,-0.025481,-0.364655,-0.227782,0.181369,0.574967,-0.690137,-0.584779,0.383833,0.345416,-0.527881,0.963793,3
-0.545274,9,0.911789,1.212065,0.33072,0.549002,0.678177,-0.143571,0.542965,-0.232596,0.040038,0.211935,0.081772,-1.351263,-0.535013,0.566385,3
-0.178373,9,-0.351388,0.679877,0.999968,-1.178623,-0.786802,-0.367584,-2.689189,0.804709,-0.690137,-0.584779,-0.834169,0.144688,-0.092728,-1.592794,2
1.778432,9,0.123588,1.060076,0.805822,-0.656522,-1.098963,-0.303558,-3.695558,0.825388,-0.690137,-0.584779,0.251106,0.954681,-0.286196,-1.592794,1
-0.178373,9,-0.036272,-0.171425,1.13261,-0.912677,-1.597335,-0.346603,-0.073796,0.484213,-0.690137,-0.584779,0.852556,0.01158,-0.496239,-0.050189,1
-0.300674,6,-0.759748,0.436835,0.593759,-1.315057,-1.118736,-0.371266,-1.221944,2.000121,-0.690137,-0.584779,-0.586696,1.668486,-0.137629,-1.592794,1
-0.912175,7,0.203565,0.475278,-0.309447,0.31509,-0.254047,-0.283457,-0.004928,-0.00413,-0.347964,-0.067487,0.776506,0.099931,-0.537424,0.708275,2
-1.034476,6,-0.458127,-1.580636,-0.590304,0.279747,0.194971,-0.212252,0.595147,-0.070795,1.805058,8.724661,0.219797,0.529306,-0.54104,-1.592794,2
-0.545274,7,-0.195135,-0.02619,0.480587,-0.621152,-0.333402,-0.362206,-0.646877,0.764279,-0.690137,-0.584779,-0.586331,0.798953,-0.411559,-1.592794,2
-0.789875,9,-0.725536,0.27497,0.150797,-0.603587,-0.080262,-0.298619,0.136719,-1.119839,-0.690137,-0.584779,-0.788307,1.36677,-0.395386,0.716589,0
-0.667575,1,-1.420675,-0.874397,-0.571886,-0.759698,-0.579025,-0.336287,-0.385056,0.396151,-0.690137,-0.584779,-0.538371,1.245046,0.415153,0.177624,2
-0.789875,4,-1.165383,-1.313442,-1.360094,-0.362208,-0.929621,-0.349103,-1.212058,0.569624,1.045083,0.394037,-0.177714,0.800607,5.378735,0.200407,3
0.433128,7,0.367827,0.346192,-0.034281,0.29108,0.863656,-0.187056,0.148406,-0.360543,-0.690137,-0.584779,-0.526141,0.04765,-0.411559,0.554991,2
0.310828,6,0.217617,-0.173767,-0.028815,0.238519,0.91277,-0.227865,0.442294,-0.233764,-0.690137,-0.584779,-0.66995,0.08562,-0.481473,-1.592794,2
