@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.155091,6,-0.125535,-0.140611,-0.03441,-0.239121,-0.162918,-0.143109,-0.122821,-0.297515,-0.153853,-0.064269,-0.426974,-0.111472,-0.062809,3
-0.078991,6,-0.168001,-0.187466,-0.03272,-0.286322,-0.266652,-0.267545,-0.204281,-0.397067,-0.256456,-0.231423,-0.650203,-0.134552,-0.208271,0
-0.078991,10,-0.122602,-0.076728,-0.034589,-0.162789,-0.132968,-0.036782,-0.092735,0.556535,-0.028093,-0.310688,0.997212,-0.020089,-0.110658,3
-0.664195,5,-0.161895,-0.178997,-0.034172,-0.27812,-0.244205,-0.226928,-0.165743,-0.385949,-0.201709,-0.180282,1.153952,0.039241,-0.071708,2
-1.132358,0,-0.163898,-0.178535,-0.035666,-0.238564,-0.228104,-0.210243,-0.177935,-0.331616,-0.211475,-0.145435,-0.339828,6.575603,29.976939,0
-0.547154,1,-0.129105,-0.134488,-0.035618,-0.077526,-0.13653,-0.067293,-0.11268,-0.113255,-0.120205,-0.011623,1.503495,0.040006,-0.094373,2
-0.781236,2,-0.153125,-0.172953,-0.035591,-0.226848,-0.218426,-0.215654,-0.14599,-0.389968,-0.20642,-0.181201,-0.650203,-0.134552,-0.105778,3
-0.664195,7,-0.169361,-0.180959,-0.035815,-0.223284,-0.215308,-0.223133,-0.182696,-0.302706,-0.194881,-0.144017,0.287944,0.138536,-0.208271,4
-0.898276,9,-0.169323,-0.188583,-0.035791,-0.278313,-0.250545,-0.245333,-0.175725,-0.397642,-0.229122,-0.200083,-0.650203,-0.134552,-0.014998,0
0.03805,1,-0.160494,-0.176471,-0.035794,-0.19957,-0.097664,-0.209878,-0.249482,-0.300803,-0.21016,-0.189115,-0.650203,-0.134552,-0.208271,1
-0.313072,7,-0.114378,-0.127201,-0.035008,-0.190243,-0.171166,-0.164602,-0.1036,-0.309354,-0.15984,-0.112979,-0.116406,-0.08265,-0.073937,2
0.740295,3,-0.037554,0.030113,-0.035455,0.313333,0.249778,0.410883,-0.960687,1.048074,0.287674,0.368078,2.086036,-0.020542,-0.208271,4
-0.313072,7,-0.103564,-0.124041,-0.035449,-0.109317,-0.137722,-0.165693,-0.104687,-0.367712,-0.183303,-0.158139,0.641418,-0.002425,-0.064446,3
-0.898276,4,-0.169093,-0.185736,-0.035335,-0.277836,-0.238924,-0.213863,-0.173489,-0.379927,-0.198658,-0.233498,2.944752,0.140096,-0.100507,2
-0.898276,8,-0.16914,-0.177439,-0.033512,-0.279598,-0.243045,-0.224851,-0.182197,-0.243343,-0.22392,-0.133376,4.65958,2.98645,-0.208271,3
2.96407,9,3.529393,3.984561,-0.031278,1.113599,2.149334,2.321153,1.668525,7.214819,2.318593,-0.801229,-0.389326,-0.069526,0.13595,2
1.676621,2,-0.041798,-0.034606,-0.03535,0.072087,0.064243,-0.043561,-0.016847,-0.019629,-0.043495,-0.054081,0.051002,-0.065375,-0.069786,2
0.389172,0,-0.023684,-0.012004,-0.03509,0.01175,0.015423,0.091525,-0.167708,0.125289,-0.001899,0.095549,0.218889,1.315793,2.175473,1
0.623254,9,-0.122357,-0.140281,-0.035206,-0.192312,-0.16133,-0.156852,-0.119434,-0.316303,-0.046953,0.028116,0.965655,0.039522,-0.055446,4
1.442539,4,1.202555,1.116628,-0.035576,4.205807,4.083624,3.597222,1.857789,1.611198,3.575028,2.818404,1.242092,-0.000396,-0.108064,2
-0.547154,9,-0.14607,-0.163248,-0.031018,-0.279032,-0.247862,-0.246546,-0.178153,-0.37874,-0.228483,-0.202355,-0.650203,-0.134552,-0.208271,0
0.974376,5,0.204383,0.213269,-0.032324,-0.114078,0.052676,0.107593,0.138232,0.105304,0.083444,0.231761,-0.321847,-0.08705,-0.004627,2
-1.015317,8,-0.166775,-0.182592,-0.03394,-0.281896,-0.252142,-0.235093,-0.166599,-0.367896,-0.221761,-0.152508,1.676048,-0.004875,-0.129568,1
