@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
15,6,8785715200,2.619747,2.839,4028614912,79.633,1411084032,2788969984,0.88,0,0,48622624,0.0448,0.01002,0,2
16,3,11233947648,1.89576,2.217,8714300416,81.844,3081400064,8127900160,0.231,0.041775,0.8606,104406365,0.053,0.02212,0,3
8,8,3577102592,2.233651,13.883,350596000,7.748,340536000,1434744064,0.348,0.048966,1.1465,43919830,0.0378,0.0218,23.996815,1
28,2,13655877632,9.775597,4.885,2718200064,8.335,1658200064,497800000,1.853,0,0,227411823,0.045,0.21996,78.90566,1
5,2,3614687232,11.244569,2.409,1680400000,20.295,480700000,624200000,1.312,0.004507,0.0885,75205211,0.025,0.00295,19.469027,1
2,0,2003631360,1.241628,0.658,2371474944,181.919,247459008,5769000,3.062,0,0,10811046,0.1038,0.12165,0,3
4,7,1388883072,14.880295,11.29,121011000,0.753,67744000,14266000,0.688,0,0,162918732,0.0494,0.06535,0,0
18,7,92526338048,11.820456,4.645,20750100480,92.387,7523200000,4615000064,0.713,0.008559,0.2808,221910117,0.0147,0.00254,32.793375,3
15,9,24843898880,31.779154,40.624,600134976,3.547,395993984,15608000,6.197,0,0,152571735,0.0421,0.11712,199.458333,0
6,6,1960239360,1.330517,1.705,1316482944,3.44,428088992,474247008,1.316,0,0,164403414,0.0189,0.04137,0,1
2,6,190496640,2.343967,0.596,458504992,4.462,146967008,199407008,0.806,0,0,109222466,0.028,0.03006,0,0
1,5,3509210112,0.400543,0.681,7261000192,17.21,608000000,2272000000,0.958,0,0,401400274,0.0129,0.01725,17.44898,2
28,9,64679579648,23.823944,9.868,6605000192,30.793,6079000064,2734000128,0.606,0,0,212397210,0.0161,0.00245,63.2625,1
11,7,48745594880,12.517689,6.124,7997599744,6.972,3610700032,517300000,1.964,0.020257,0.7981,1144465330,0.0225,0.0017,39.682243,3
17,5,32287287296,1.456201,1.664,19156000768,51.37,6480000000,2728000000,0.291,0,0,358649090,0.0146,0.031,8.946225,2
4,4,352649248,0.51075,0.652,664286976,10.964,151672992,134190000,0.962,0,0,56214226,0.0291,0.07277,52.909091,2
8,7,4036870656,9.265018,14.413,262471008,0.879,154564992,17542000,1.588,0,0,250843316,0.1034,0.03265,0,1
8,2,4990891520,0.947185,0.956,6216249856,86.336,1425250048,1883864960,2.028,0.023069,0.1836,69535913,0.0457,0.02248,7.997719,2
3,10,1947061632,1.268984,1.408,3122881024,19.76,581513024,2568892928,0.41,0,0,172066400,0.0584,0.00209,10.951456,4
14,6,2495543040,1.272117,1.266,3671000064,18.396,1906000000,2508999936,0.862,0.050713,0.2883,185559888,0.0478,0.00394,0,3
10,5,12408441856,1.029457,0.566,21750999040,330.562,2792000000,5734000128,0.95,0.018929,0.3093,65740810,0.0133,0.00228,16.311034,2
6,4,2276279040,1.198191,3.364,798838016,16.191,463587008,561726976,0.913,0.010736,0.8333,40233515,0.0624,0.18434,9.60625,0
11,9,9132285952,14.624658,5.25,1676024960,9.775,1264940032,79016000,1.329,0.001099,0.0864,91952436,0.0379,0.46269,43.754098,1
5,7,1654611712,4.976761,3.241,572606976,14.094,239487008,341016000,2.339,0.008905,0.3925,26087889,0.0459,0.29102,43.752688,2
4,7,7928042496,9.51747,6.329,1258590976,15.437,360865984,40000000,1.951,0.003598,0.2449,67380212,0.0903,0.17353,66.14966,1
16,9,11290135552,6.095183,5.53,1959900032,35.015,1688800000,81200000,0.313,0.007482,0.2024,49753332,0.0451,0.11586,27.083671,3
22,7,68631281664,5.691575,4.994,16366000128,52.228,7100000256,13216000000,0.596,0.010631,0.3432,311572655,0.01,0.00127,32.469719,2
8,9,1860172800,3.437077,1.748,820768000,3.22,574012992,48212000,1.385,0,0,127512164,0.0526,0.06405,17.318182,3
17,6,4824370688,12.279785,77.639,56979000,1.038,-115271000,52513000,3.746,0,0,37338822,0.1078,0.13359,0,0
21,4,60840484864,1.977324,5.941,15969000448,7.188,7984000000,32810999808,0.424,0.042631,0.9467,1938251642,0.0164,0.12749,22.442623,2
20,6,10159005696,1.076484,1.862,3078000128,7.974,-2199000064,741000000,3.555,0,0,363381039,0.1654,0.07216,0,3
8,7,3297046016,3.365981,2.951,1253105024,62.76,150928000,417415008,1.159,0.002559,0.1194,20201592,0.067,0.02592,47.6,0
14,10,36088487936,1.218915,3.971,24452999168,11.263,9290999808,59675000832,0.4,0.002121,0.0787,2191793349,0.0152,0.00184,15.203704,1
7,9,2481278208,3.1075,2.636,975867008,19.691,641819008,1063155968,1.735,0,0,47453198,0.0478,0.05354,20.890756,2
