@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.03805,-0.160494,-0.377506,-0.035794,-0.19957,-0.081928,-0.097664,-0.300803,0.16334,-0.650203,-0.134552,-0.225507,0.349365,-0.31676,-0.208271,1
-0.313072,-0.114378,0.173677,-0.035008,-0.190243,0.107879,-0.171166,-0.309354,-0.279948,-0.116406,-0.08265,-0.239087,-0.760021,-0.40909,-0.073937,2
0.740295,-0.037554,-0.365194,-0.035455,0.313333,-0.243883,0.249778,1.048074,-0.37371,2.086036,-0.020542,0.600571,-0.230899,1.873217,-0.208271,4
-0.313072,-0.103564,-0.09403,-0.035449,-0.109317,0.962584,-0.137722,-0.367712,-0.203635,0.641418,-0.002425,-0.261374,0.199873,-0.515778,-0.064446,3
-0.898276,-0.169093,-0.343421,-0.035335,-0.277836,-0.365676,-0.238924,-0.379927,-0.233327,2.944752,0.140096,-0.228968,-0.689209,0.173518,-0.100507,2
-0.898276,-0.16914,-0.367861,-0.033512,-0.279598,-0.369104,-0.243045,-0.243343,-0.265883,4.65958,2.98645,-0.174074,-0.461037,-0.340517,-0.208271,3
2.96407,3.529393,1.718865,-0.031278,1.113599,-0.244425,2.149334,7.214819,-0.392202,-0.389326,-0.069526,1.47081,-1.029499,3.013197,0.13595,2
1.676621,-0.041798,0.31948,-0.03535,0.072087,-0.194358,0.064243,-0.019629,-0.50055,0.051002,-0.065375,0.259934,0.219543,-0.52857,-0.069786,2
0.389172,-0.023684,-0.320826,-0.03509,0.01175,-0.18282,0.015423,0.125289,-0.296877,0.218889,1.315793,0.143363,-0.811163,-0.532573,2.175473,1
0.623254,-0.122357,-0.287704,-0.035206,-0.192312,-0.214032,-0.16133,-0.316303,-0.151545,0.965655,0.039522,-0.140631,0.195939,-0.512558,-0.055446,4
1.442539,1.202555,-0.298319,-0.035576,4.205807,0.342068,4.083624,1.611198,-0.360427,1.242092,-0.000396,1.403287,-0.999994,-0.025674,-0.108064,2
-0.547154,-0.14607,1.529687,-0.031018,-0.279032,-0.301788,-0.247862,-0.37874,1.630461,-0.650203,-0.134552,-0.268286,0.957167,-0.185706,-0.208271,0
0.974376,0.204383,0.919046,-0.032324,-0.114078,-0.112693,0.052676,0.105304,-0.11404,-0.321847,-0.08705,-0.121488,-0.958687,0.656573,-0.004627,2
-1.015317,-0.166775,-0.336104,-0.03394,-0.281896,-0.364741,-0.252142,-0.367896,-0.482579,1.676048,-0.004875,-0.22046,-0.933116,-0.480883,-0.129568,1
0.155091,-0.123497,0.090089,-0.035593,-0.088152,0.187356,-0.067279,-0.278923,-0.405225,-0.650203,-0.134552,-0.193663,0.575569,-0.5163,-0.090894,2
-0.781236,-0.168041,-0.327055,-0.035308,-0.270378,-0.344931,-0.248044,-0.337613,-0.130449,-0.650203,-0.134552,-0.177754,-0.268272,-0.421795,-0.208271,1
1.910703,0.212635,0.032165,-0.032274,-0.128345,-0.206932,0.073232,-0.07835,-0.274999,-0.650203,-0.134552,-0.072099,-0.128615,-0.447641,-0.043407,2
-0.898276,-0.154323,-0.235076,-0.035743,-0.191992,0.618851,-0.234826,-0.386233,-0.342195,-0.650203,-0.134552,-0.268057,-0.590859,-0.405,-0.079415,2
0.740295,-0.135228,0.008657,-0.034494,-0.249682,-0.192745,-0.194405,-0.394101,-0.482579,-0.650203,-0.134552,-0.249146,-0.722648,1.177395,-0.01736,1
-1.132358,-0.167748,-0.246102,-0.035692,-0.234306,-0.197806,-0.234697,-0.286483,-0.323443,-0.650203,-0.134552,-0.226282,0.97487,-0.236788,-0.208271,3
3.198151,-0.103489,-0.268793,-0.034563,-0.221957,-0.278726,-0.134351,-0.334569,-0.197385,-0.650203,-0.134552,-0.11975,-0.539717,-0.504639,0.321808,2
-0.313072,-0.157429,-0.324722,-0.033569,-0.268209,-0.335405,-0.226665,-0.171253,-0.16613,2.24186,0.1322,-0.184492,-0.278107,-0.385594,-0.077511,3
-0.196032,-0.16508,-0.371257,-0.035633,-0.241695,-0.314044,-0.177208,-0.305721,-0.266665,-0.650203,-0.134552,-0.171534,0.109391,1.71771,-0.208271,1
0.272132,-0.164763,-0.337744,-0.035793,-0.217146,-0.060776,-0.224364,-0.345788,-0.13123,0.21519,-0.031746,-0.233992,-0.055836,-0.446335,-0.041466,4
-0.078991,-0.170414,-0.350156,-0.036035,-0.147453,-0.290169,-0.26492,-0.395863,-0.22942,-0.650203,-0.134552,0.005346,-0.21713,-0.369147,-0.208271,3
1.091417,-0.106265,-0.323226,-0.032711,-0.237821,-0.365906,-0.174285,0.16673,0.037021,1.318621,0.053847,0.40021,-0.529882,-0.362882,-0.072628,3
-0.664195,-0.171343,-0.289822,-0.035335,-0.282509,-0.35447,-0.249607,-0.37267,0.096665,-0.650203,-0.134552,-0.26719,-0.293843,-0.260545,-0.120929,3
-0.781236,-0.158009,-0.309699,-0.035583,-0.204411,0.04645,-0.19587,-0.246481,-0.256767,0.019925,-0.065906,-0.239352,-0.775757,-0.525002,-0.064276,2
-0.781236,-0.168986,-0.212111,-0.034372,-0.285721,-0.3764,-0.25668,-0.395516,1.197852,-0.650203,-0.134552,-0.272958,0.774236,-0.17013,0.094328,2
-0.664195,-0.169516,-0.393839,-0.035582,-0.241605,-0.037979,-0.182884,-0.235326,-0.391421,-0.650203,-0.134552,-0.265817,1.7538,1.362054,-0.208271,3
-1.132358,-0.163614,-0.339464,-0.035588,-0.258056,-0.024978,-0.224351,-0.390479,-0.252079,0.652266,-0.056683,-0.272013,-0.758054,-0.255062,-0.123059,0
-1.015317,-0.171422,-0.354668,-0.035502,-0.286705,-0.384666,-0.25715,-0.397422,2.460519,-0.650203,-0.134552,-0.194752,-0.559387,-0.396298,-0.208271,1
-0.313072,-0.148324,-0.207042,-0.035626,-0.177801,0.307692,-0.1657,-0.327646,-0.271092,-0.650203,-0.134552,-0.249788,-0.142384,-0.427626,0.01398,2
-1.132358,-0.170345,-0.348719,-0.035955,-0.259242,-0.13858,-0.244715,-0.398496,0.289659,-0.650203,-0.134552,-0.26601,0.292322,-0.093899,-0.208271,4
-0.313072,-0.143807,-0.316034,-0.035775,-0.102409,0.08063,-0.187351,-0.294451,-0.057522,-0.091165,0.017285,-0.180332,-0.614463,-0.458779,0.18663,2
-0.078991,-0.149832,-0.318672,-0.033247,-0.267205,-0.360527,-0.221557,-0.187952,-0.217439,1.439996,0.072854,-0.066378,-0.360721,-0.490977,-0.064382,2
-0.547154,-0.12062,-0.303606,-0.033537,-0.232043,-0.329572,-0.177788,0.133549,-0.388816,0.703325,-0.047351,-0.00168,-0.736417,-0.534662,-0.118108,0
-1.132358,-0.165122,-0.239179,-0.035624,-0.255451,-0.230082,-0.229014,-0.371537,-0.153889,-0.587026,-0.130698,-0.235887,-0.366621,-0.352526,-0.122888,1
-0.781236,-0.165295,0.159376,-0.033621,-0.283242,-0.353054,-0.252865,-0.398321,0.877758,-0.137754,-0.067014,-0.26014,0.249048,-0.162907,-0.022661,1
-0.547154,-0.169529,-0.347896,-0.035511,-0.277569,-0.374165,-0.251666,-0.373187,0.086247,-0.650203,-0.134552,-0.113652,-0.423664,1.31367,-0.208271,1
-0.078991,-0.157403,-0.344682,-0.03559,-0.226945,-0.286138,-0.176126,-0.289811,-0.018976,-0.650203,-0.134552,-0.121744,-0.07944,-0.503421,0.109394,3
-0.547154,-0.053056,0.217615,-0.034735,-0.123999,0.011621,-0.13366,-0.162753,-0.292449,0.018035,-0.057182,-0.173349,-0.868205,-0.5096,-0.044016,3
-0.196032,-0.156455,-0.036563,-0.033196,-0.279291,-0.330839,-0.246626,-0.39845,0.106822,-0.650203,-0.134552,-0.253717,-0.234833,-0.126445,-0.208271,2
